main_sku,master_sku,name,тип,barcode,barcodes,является_основным,основной_sku,дубли,компоненты_count,компоненты,входит_в_комплекты
103126757_15142052,103126757,CELLIO крем Vita Fresh Ssingssing 4 in1 для лица 70 мл,Товар,,,да,,,0,,116786920_608491452
132897088_203058169,132897088,"Round Lab крем Baby Mild Sunscreen для лица, для зоны декольте 50 мл",Товар,8809962540805,8809962540805,да,,,0,,
107959549_056619750,107959549,Биоритм Sexy Sweet Juicy Mango молочко для тела 150 мл,Товар,4607013977662,4607013977662,да,,,0,,
104546107_198533510,104546107,ANGIOPHARM крем Oily Combination Skin для лица 50 мл,Товар,4603784188207,4603784188207,да,,,0,,
117001405_967721108,117001405,PRE MORE сыворотка Rejutox PDRN для лица 30 мл,Товар,8809875908730,8809875908730,да,,,0,,
107970157_010002508,107970157,Influence Skinnovation Matte тональный крем 02 светло-бежевый 25 мл,Товар,4602006309758,4602006309758,да,,,0,,
105741269_407629538,105741269,Vivienne Sabo масло Dessert Levres Lip Oil 3 мл,Товар,,,да,,,0,,
101742308_905113090,101742308,ITALWAX Белый шоколад средняя пленочный воск 500 г,Товар,8052532721061,8052532721061,да,,,0,,
118793256_076496303,118793256,Vivienne Sabo Coverture тональный крем 03 Натуральный 30 мл,Товар,,,да,,,0,,
117429167_140895591,117429167,ANGIOPHARM крем Comfort Omega 3-6-9 для лица 200 мл,Товар,,,да,,,0,,
105375075_829662,105375075,Loreal Paris Alliance Perfect Гиалуроновая кислота тональный крем 0.5N 30 мл,Товар,3600524190736,3600524190736,да,,,0,,
104545803_647538239,104545803,ANGIOPHARM Cleansing молочко 200 мл,Товар,,,да,,,0,,
123612258_579193877,123612258,Beauty of Joseon крем Relief Sun Aqua-fresh Rice + B5 SPF50+ для лица 50 мл,Товар,8809968130277,8809968130277,да,,,0,,
114097042_555090700,114097042,Tashe маска Детокс и свежесть 500 мл,Товар,4812413001293,4812413001293,да,,,0,,
101619828_642629189,101619828,ART SOFFIO Make Up Lipliner Pencil карандаш 0145 Истинно Красный,Товар,4897045416134,4897045416134,да,,,0,,
38200119_652620794,38200119,Milani Cosmetics Baked blush румяна Luminoso,Товар,,,да,,38200099_283487943,0,,
103395036_817932,103395036,Dr.Ceuracle Vegan Kombucha Tea набор по уходу за лицом для женщин,Товар,,,да,,,0,,
101557494_624794505,101557494,PSA пилинг Follow The Light 50 мл,Товар,,,да,,,0,,
102188123_383949,102188123,Chupa Chups Candy Glow SPF50 кушон Cherry 2.0 Shell 14 г,Товар,,,да,,,0,,
109019248_180550906,109019248,Vivienne Sabo Le Grand Volume карандаш 07,Товар,3666670803494,3666670803494,да,,,0,,
100385454_15142052,100385454,Some by Mi Aha Bha Pha 30 Days Miracle Acne пенка 100 мл,Товар,8809647390091,8809647390091,да,,,0,,
106290938_15142052,106290938,The First Ginature Skin Softener набор по уходу за лицом для женщин,Товар,,,да,,,0,,
105496639_15142052,105496639,Round Lab 1025 Dokdo Cleansing бальзам 100 мл,Товар,,,да,,,0,,
102071473_512748303,102071473,Loreal Professionnel Paris Vitamino Color 10 в 1 спрей 190 мл,Товар,,,да,,,0,,
111560998_581455292,111560998,Liv Delano Lost Cherry крем для тела 250 мл,Товар,4811248011019,4811248011019,да,,,0,,114394683_221834688
100743997_15142052,100743997,The First Ginature Skin Softener набор по уходу за лицом для женщин,Товар,,,да,,,0,,
109996865_682556647,109996865,Catrice AirBlush Glow румяна 010,Товар,,,да,,,0,,
102188413_282347,102188413,The Ordinary сыворотка Niacinamide 10% + Zinc 1% для лица 60 мл,Товар,769915196511,769915196511,да,,113283988_333633,0,,
101431244_15142052,101431244,MEDI-PEEL Glutathione 600 набор по уходу за лицом для женщин,Товар,,,да,,103183663_15142052,0,,
114184208_783774652,114184208,Dr. Jart крем Ceramidin Ultra moisturizing для лица 50 мл,Товар,,,да,,,0,,
113440315_832090,113440315,Тушь для ресниц Vivienne Sabo Volume Etalon для объема черный,Товар,,,да,,,0,,
112802029_639699044,112802029,Influence Universum Stick 3 in 1 корректор 1,Товар,4602006314417,4602006314417,да,,,0,,
113687548_414024,113687548,Anua ампульная сыворотка Heartleaf 80% Soothing для лица 30 мл,Товар,8809640730283,8809640730283,да,,,0,,"115260869_571140,117446177_502605073,117446022_343862582,115751741_753937"
101724511_551424848,101724511,Воск ITALWAX Белый шоколад плотность средняя в картридже 100 мл,Товар,,,да,,,0,,116768471_008857175
104326301_528271,104326301,By Wishtrend крем Vitamin A-mazing Bakuchiol для лица 30 г,Товар,8809572891328,8809572891328,да,,,0,,
115053918_858224426,115053918,Маска для лица AXIS-Y глиняная Mugwort Pore Clarifying Wash Off Pack 100 мл,Товар,8809634610102,8809634610102,да,,,0,,
